feature_0,feature_1,feature_2,feature_3,target
-1.0208,1.2777,-1.0204,-1.0327,2.0000
1.8184,1.2669,1.8395,1.8077,1.0000
2.2024,0.4050,2.2709,2.1265,1.0000
0.4208,-0.6516,1.2283,-0.7572,0.0000
1.3832,-0.0595,1.3994,1.3749,1.0000
-0.3872,-0.5602,-0.5640,-0.1325,2.0000
0.9554,0.1865,1.8670,-0.3692,0.0000
-0.8054,-0.0209,-0.8585,-0.7365,2.0000
0.1539,-0.2526,0.1244,0.1990,1.0000
1.0719,-0.7077,1.0956,1.0490,1.0000
-0.2079,-1.0244,-0.2255,-0.1845,1.0000
1.0959,-1.4301,1.0982,1.1047,1.0000
1.5001,-1.5194,1.4883,1.5339,1.0000
-0.7768,-0.4930,-0.8522,-0.6750,2.0000
-0.2990,2.3147,0.5336,-1.5217,0.0000
-0.6464,-0.8290,-0.7511,-0.5002,2.0000
-0.8478,0.2810,-0.8953,-0.7876,2.0000
0.1780,0.7590,1.0018,-1.0265,0.0000
-0.8536,0.6296,-0.8979,-0.7982,2.0000
-1.3473,0.6104,-1.2552,-1.4972,2.0000
-0.6655,-1.9521,-0.7647,-0.5277,2.0000
-0.7149,-0.7153,-0.0083,-1.7576,0.0000
0.5606,0.6796,1.4312,-0.7081,0.0000
-0.4461,-1.2378,-0.6073,-0.2150,2.0000
-1.3466,0.8129,-1.2474,-1.5069,2.0000
0.7692,0.0102,0.7390,0.8218,1.0000
-1.3262,0.3570,-1.2426,-1.4633,2.0000
-0.1444,0.6339,0.6984,-1.3803,0.0000
0.1027,-0.4842,0.0839,0.1314,1.0000
-0.0691,1.0890,0.7338,-1.2457,0.0000
-0.6421,0.5471,-0.7445,-0.4992,2.0000
-0.9359,2.1330,-0.9495,-0.9263,2.0000
0.0561,-1.4359,0.0126,0.1205,1.0000
-0.5091,2.1222,-0.5858,-0.4024,1.0000
-0.8655,0.5883,-0.9093,-0.8110,2.0000
-0.3286,-1.8673,0.4601,-1.4874,0.0000
0.7597,-0.9815,0.7114,0.8388,1.0000
0.6615,-0.6002,0.6457,0.6920,1.0000
0.5626,-0.6533,1.4128,-0.6762,0.0000
0.0265,-0.3345,0.7692,-1.0610,0.0000
1.1405,1.0325,1.1589,1.1263,1.0000
1.8163,0.4438,1.8608,1.7712,1.0000
-0.1936,-0.2368,0.5859,-1.3375,0.0000
-1.6386,-0.5916,-1.4569,-1.9230,2.0000
-1.1389,0.6621,-1.0990,-1.2099,2.0000
0.3308,0.6863,1.2153,-0.9609,0.0000
0.0525,-1.0777,0.8772,-1.1547,0.0000
1.6458,0.1135,1.7107,1.5690,1.0000
-0.9409,1.0988,-0.9566,-0.9283,2.0000
-0.4124,0.0456,0.3809,-1.5787,0.0000
1.2134,-1.2478,1.2339,1.1968,1.0000
-0.1929,0.8996,-0.4286,0.1503,2.0000
-1.5144,-0.2022,-1.3730,-1.7383,2.0000
1.1137,1.4413,1.1299,1.1024,1.0000
0.0251,-1.2609,0.0545,-0.0175,1.0000
-0.3742,-2.0251,0.3771,-1.4786,0.0000
2.2961,1.6324,2.3141,2.2952,1.0000
0.5428,-0.7728,1.3227,-0.5934,0.0000
0.8143,0.9179,0.8069,0.8343,1.0000
3.0781,0.4621,3.1744,2.9712,1.0000
0.1744,-1.2003,1.0458,-1.0998,0.0000
-0.6769,0.8496,-0.7669,-0.5525,2.0000
-1.4731,0.8254,-1.3426,-1.6806,2.0000
-0.0364,-0.1147,0.7878,-1.2438,0.0000
0.1397,0.7473,-0.1849,0.6168,2.0000
-0.2089,-0.4400,-0.2120,-0.2067,1.0000
0.2493,2.1439,1.0775,-0.9610,0.0000
-0.0989,-0.3153,0.6336,-1.1728,0.0000
-0.7339,-0.5894,-0.8067,-0.6353,2.0000
-0.9058,-0.6227,-0.9324,-0.8769,2.0000
0.2656,-0.7925,1.0331,-0.8555,0.0000
2.2911,1.1632,2.3303,2.2591,1.0000
-0.7570,0.8135,-0.8307,-0.6573,2.0000
-0.3011,0.8524,0.4734,-1.4386,0.0000
0.7243,-0.4719,1.6155,-0.5730,0.0000
0.8144,-3.2413,0.8093,0.8309,1.0000
0.9720,0.2165,1.8936,-0.3670,0.0000
0.0929,0.0698,0.0949,0.0909,1.0000
-0.8324,-0.2177,-0.8839,-0.7662,2.0000
0.1695,-0.4854,1.0046,-1.0517,0.0000
0.0630,0.8658,0.8826,-1.1366,0.0000
2.9675,0.1307,3.0732,2.8456,1.0000
0.8528,-1.6127,1.6867,-0.3590,0.0000
0.7122,-0.3853,0.7325,0.6904,1.0000
0.4546,-0.6618,1.2902,-0.7641,0.0000
-0.3959,-0.9269,-0.4528,-0.3170,1.0000
-1.5016,1.5860,-1.3667,-1.7159,2.0000
-0.8122,-0.6929,-0.8733,-0.7319,2.0000
0.9686,0.0819,1.8878,-0.3670,0.0000
2.4265,1.7655,2.4953,2.3527,1.0000
0.3051,0.7746,0.2938,0.3251,1.0000
-0.4057,0.0643,0.3788,-1.5591,0.0000
-0.0292,0.5050,0.7314,-1.1436,0.0000
-0.6992,0.1173,-0.7865,-0.5791,2.0000
-1.2912,-0.2081,-1.2134,-1.4195,2.0000
-1.3136,0.3073,-1.2268,-1.4552,2.0000
-0.2001,-0.4749,0.5566,-1.3104,0.0000
-1.5616,-0.1518,-1.3998,-1.8158,2.0000
0.9524,-0.7304,1.8371,-0.3328,0.0000
-0.0603,0.1991,-0.0824,-0.0286,1.0000
