feature_0,feature_1,feature_2,feature_3,target
0.8524,-0.6618,0.1865,-2.0251,-8.5755
-0.4930,-0.2081,-0.6227,0.2810,-32.7235
-1.1430,0.0582,0.1537,-0.8839,-121.4168
0.3757,-1.1510,0.1109,-0.5444,7.6523
-1.1962,-1.1063,-0.1857,-0.4792,-133.4721
0.8658,0.5050,-0.1147,-0.7925,34.7011
-0.2346,0.0051,0.2611,0.2961,-10.4846
0.5138,0.5150,-0.9378,-1.3777,-30.4170
-1.4301,1.6324,-1.2478,-0.2526,-164.3620
-0.7673,2.1532,0.9593,1.4511,37.5969
-0.8083,2.1898,0.1833,0.8723,-26.7244
-1.2309,0.8135,-0.3221,-0.7833,-126.8595
-0.0265,-1.9188,-0.0744,0.2576,-22.0490
0.1746,1.8862,0.4041,-0.1613,40.6704
0.0126,0.2241,-0.4012,0.6901,11.3983
1.5499,-0.9194,0.4736,-1.0623,98.4659
-1.4359,1.4413,0.1307,-0.4400,-136.4745
1.5380,0.3614,-0.6451,0.3616,133.0734
-0.5069,0.2450,0.2437,-0.8222,-80.7157
-0.5663,-0.9905,2.1905,0.5869,36.8548
0.3015,-0.1924,2.4632,0.0602,83.0037
-1.2378,1.5860,0.6621,0.1135,-90.4353
-0.7144,0.2931,0.2323,-0.6800,-78.1375
1.8968,0.8221,0.4128,0.9634,219.0116
-0.1301,0.3242,-0.3103,0.6820,0.8242
0.9755,0.3313,-0.3092,-0.8392,58.4701
0.8564,-0.4465,-1.5148,-0.8468,-15.5983
0.7519,1.1428,-1.1687,-0.0347,17.6793
1.0035,-0.0720,1.3562,0.8125,168.9505
-0.5637,0.4129,-0.3214,-0.8255,-95.9145
0.7917,1.1581,-1.2142,-1.0060,2.0921
-0.8973,-0.0122,0.6283,0.6241,-42.1510
-0.5258,-2.1239,-0.5994,-0.8397,-110.5613
0.5883,-0.1518,-1.9521,2.1330,98.7971
1.2378,-0.1145,1.3539,-1.7131,91.4369
0.4825,-1.0709,-0.8572,0.6257,28.8031
0.7674,1.5792,-0.2341,-0.2342,59.6199
-0.8207,1.1586,0.7871,-0.9747,-104.0213
0.9686,0.0971,0.5133,-0.5298,82.8195
0.7746,0.4438,-0.7077,1.2669,108.8338
0.1969,-1.3282,-1.9597,0.2089,-46.6258
-0.4842,-1.5194,1.0325,2.1222,63.6115
0.2165,-0.7304,0.6796,-0.7153,-8.4701
-0.1471,0.9751,-0.6772,0.0758,-36.8112
-0.8158,-0.8895,-0.7537,-0.2454,-119.3912
-0.3851,0.3241,-1.7630,0.3436,-62.0976
2.0924,-0.8182,0.5952,0.0970,180.5518
-0.3011,-0.1156,0.1714,0.7385,-6.7119
-1.3205,-1.2370,0.7818,0.2599,-106.0340
0.3464,0.2505,0.2970,0.5219,60.5858
0.9313,1.0310,0.6117,-0.6769,67.5009
0.9179,-1.2609,0.4050,1.7655,155.4450
1.5230,0.6477,-0.1383,0.4967,152.2280
-0.0728,0.4732,0.7140,-0.2235,1.4832
1.0571,-0.4606,-0.7198,-1.4785,20.5786
0.3853,0.1732,-1.2457,0.2141,8.4904
-0.4692,1.1794,1.8315,-1.3202,-29.3522
1.8762,0.3418,0.1504,-0.7591,128.0287
-1.9876,0.0918,-0.2990,0.0870,-158.3630
0.8219,-2.6197,1.5646,-0.0358,118.2026
0.6104,0.7473,-0.5602,-0.8290,10.4014
0.7590,-0.3153,0.6514,0.9540,113.3070
0.4621,-0.9815,0.0102,1.1632,80.2054
-0.5916,1.2777,0.1173,-0.0209,-10.8220
-1.4123,-0.9080,0.3142,-1.0128,-171.3428
0.8272,0.2767,0.3412,-0.0771,85.9140
2.7202,-0.2647,1.4535,0.0130,277.6731
-0.6929,0.3570,0.8496,-0.5894,-61.6144
-0.8023,-0.3427,-0.4206,-1.4154,-134.6593
1.8523,-0.6017,-0.2917,-0.6006,129.0321
1.0988,-0.2177,-0.2022,0.5471,122.1488
-1.0777,0.0643,1.0890,-0.4719,-88.1731
1.4754,0.3109,-0.2134,-0.7184,102.5082
1.0538,1.0831,0.5608,0.3578,117.5471
0.0210,1.3055,0.8135,0.8254,64.3786
0.4017,-0.1088,1.5327,0.5193,98.3471
-0.8272,0.3227,-0.2887,-0.0185,-63.5738
-1.0244,-3.2413,-0.0595,-0.9269,-139.3572
-1.4247,0.0675,-0.2258,1.4656,-69.6192
-1.4075,-1.4481,0.2320,-0.4710,-126.1940
0.1846,-1.6075,1.3071,0.2275,38.2761
0.6566,-1.1913,0.4738,1.8658,140.0816
-1.4019,1.4028,-0.9094,0.7910,-108.0567
-0.4657,-0.4634,0.5426,-0.4695,-52.0266
-1.2208,0.8225,-1.0577,-0.0135,-123.2943
0.0819,-0.4854,-0.2368,-0.7728,-35.2598
-1.4635,-0.3921,-0.3277,-0.7021,-153.1587
-1.0025,-0.0190,-0.1599,0.8577,-55.6733
-0.6533,-0.4749,-0.3345,-1.2003,-115.9687
0.6296,0.8129,0.3073,0.8996,110.5125
-0.5623,-1.7249,-1.9133,0.2420,-94.3914
0.4980,0.0245,-0.7730,0.0977,41.3496
0.4919,-0.8984,-0.5769,0.9504,47.2970
-0.5183,1.4779,0.3571,-0.2197,-38.3226
0.3288,0.9154,-0.5018,-0.8085,-3.9521
1.1356,0.5709,3.8527,0.5150,222.8123
0.0686,-1.5507,-0.5035,0.0997,2.5788
-0.3853,0.0698,-0.6002,0.1991,-64.0976
0.6339,2.1439,-0.6516,0.0456,70.6254
-1.6127,0.6863,-1.8673,2.3147,-100.9745
